,idno,author-country,availability,narrative-perspective,narrator,protagonist-gender,setting-type,protagonist-age,protagonist-social-level,representation,setting-continent,setting-continent_binary,setting-country,setting-country_binary,setting-name,setting-territory,time-period,protagonist-profession,type-end_comp,type-end,keywords-cert,setting-type
ne0122,ne0122,Spain,restricted,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,mixed,mixed,contemporary,artist,neutral,neutral,medium,land
ne0123,ne0123,Spain,restricted,autodiegetic,first-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Yecla,Valencia,contemporary,artist,neutral,neutral,medium,land
ne0125,ne0125,Spain,restricted,homodiegetic,third-person,male,rural,mature,low,non-realistic,Europe,Europe,Spain,Spain,Casa Viejas,Andalucía,contemporary,worker,negative,negative,high,land
ne0126,ne0126,Spain,restricted,autodiegetic,mixed,male,big-city,young,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,journalist,negative,negative,high,land
ne0130,ne0130,Spain,free,autodiegetic,first-person,male,big-city,adult,medium,non-realistic,Africa,not_Europe,Maya,not_Spain,Maya,Maya,contemporary,politician,neutral,neutral,high,land
ne0134,ne0134,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,researcher,neutral,neutral,medium,land
ne0135,ne0135,Spain,free,heterodiegetic,third-person,male,small-city,adult,medium,realistic,Europe,Europe,Spain,Spain,unknown,Asturias,contemporary,artist,positive,positive,medium,land
ne0141,ne0141,Spain,restricted,heterodiegetic,third-person,female,rural,young,medium,realistic,Europe,Europe,Spain,Spain,mixed,Galicia,contemporary,journalist,neutral,neutral,medium,land
ne0142,ne0142,Spain,restricted,heterodiegetic,third-person,male,big-city,adult,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,mixed,positive,positive,medium,land
ne0143,ne0143,Spain,restricted,autodiegetic,first-person,male,big-city,adult,medium,non-realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,worker,negative,negative,medium,land
ne0144,ne0144,Spain,free,autodiegetic,first-person,male,big-city,young,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,mixed,negative,negative,medium,land
ne0145,ne0145,Spain,free,autodiegetic,first-person,male,rural,adult,high,realistic,Europe,Europe,Spain,Spain,Tablanca,Cantabria,contemporary,lord,positive,positive,medium,land
ne0146,ne0146,Spain,free,heterodiegetic,first-person,female,small-city,young,medium,realistic,Europe,Europe,Spain,Spain,Santander,Cantabria,contemporary,none,neutral,neutral,medium,land
ne0151,ne0151,Spain,free,mixed,first-person,female,big-city,young,high,realistic,mixed,mixed,mixed,mixed,mixed,mixed,contemporary,housewife,negative,negative,high,land
ne0153,ne0153,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,non-realistic,mixed,mixed,mixed,mixed,mixed,mixed,modern_times,religious,positive,positive,medium,land
ne0155,ne0155,Spain,free,heterodiegetic,third-person,male,big-city,adult,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,none,positive,positive,medium,land
ne0157,ne0157,Spain,free,heterodiegetic,third-person,female,big-city,adult,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,lord,negative,negative,medium,land
ne0158,ne0158,Spain,free,heterodiegetic,third-person,female,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,housewife,partial positive,positive,medium,land
ne0159,ne0159,Spain,free,heterodiegetic,third-person,male,rural,young,medium,realistic,Europe,Europe,Spain,Spain,La Joya,Extremadura,contemporary,?,negative,negative,medium,land
ne0160,ne0160,Spain,free,autodiegetic,first-person,male,boat,adult,medium,realistic,mixed,mixed,mixed,mixed,mixed,mixed,contemporary,military personnel,partial positive,positive,high,sea
ne0163,ne0163,Spain,free,heterodiegetic,third-person,female,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Valencia,Valencia,contemporary,business owner,negative,negative,medium,land
ne0164,ne0164,Spain,free,heterodiegetic,third-person,male,rural,adult,low,realistic,Europe,Europe,Spain,Spain,unknown,Valencia,contemporary,worker,negative,negative,medium,land
ne0168,ne0168,Spain,restricted,autodiegetic,first-person,male,big-city,mature,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,researcher,neutral,neutral,medium,land
ne0171,ne0171,Spain,restricted,heterodiegetic,third-person,male,big-city,child,medium,non-realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,?,positive,positive,medium,land
ne0172,ne0172,Spain,restricted,heterodiegetic,third-person,unknown,none,unknown,unknown,non-realistic,Europe,Europe,Spain,Spain,unknown,unknown,contemporary,unknown,neutral,neutral,medium,big-city
ne0175,ne0175,Spain,free,heterodiegetic,third-person,male,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Guadix,Andalucía,contemporary,worker,negative,negative,medium,land
ne0176,ne0176,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,unknown,Andalucía,contemporary,politician,negative,negative,medium,land
ne0177,ne0177,Spain,restricted,heterodiegetic,third-person,male,small-city,adult,medium,realistic,Europe,Europe,Spain,Spain,unknown,Andalucía,contemporary,teacher,neutral,neutral,medium,land
ne0181,ne0181,Spain,restricted,dialogue,second-person,male,rural,adult,high,realistic,Europe,Europe,Spain,Spain,Benicarló,Valencia,contemporary,politician,negative,negative,medium,land
ne0182,ne0182,Spain,restricted,autodiegetic,first-person,male,boat,adult,medium,realistic,Europe,Europe,mixed,mixed,mixed,mixed,contemporary,seller,positive,positive,high,sea
ne0183,ne0183,Spain,free,heterodiegetic,third-person,female,big-city,young,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,housewife,negative,negative,medium,land
ne0184,ne0184,Spain,restricted,autodiegetic,first-person,male,big-city,adult,medium,realistic,America,not_Europe,United States of America,not_Spain,New York,New York,contemporary,artist,neutral,neutral,medium,land
ne0185,ne0185,Spain,restricted,homodiegetic,third-person,male,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Pinares,Asturias,contemporary,artist,negative,negative,medium,land
ne0186,ne0186,Spain,restricted,heterodiegetic,third-person,male,small-city,child,low,realistic,Europe,Europe,Spain,Spain,Regium,Asturias,contemporary,student,positive,positive,medium,land
ne0187,ne0187,Spain,restricted,homodiegetic,first-person,male,small-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Pilares,León,contemporary,seller,neutral,neutral,medium,land
ne0191,ne0191,Spain,free,heterodiegetic,third-person,male,small-city,mature,high,realistic,Europe,Europe,Spain,Spain,Turnovas,Cataluña,antiquity,politician,partial negative,negative,medium,land
ne0192,ne0192,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Atarjea,not_Spain,Granburgo,Granburgo	,contemporary,researcher,negative,negative,medium,land
ne0193,ne0193,Spain,free,homodiegetic,first-person,male,rural,child,high,realistic,Europe,Europe,Spain,Spain,Valdezotes,unknown,contemporary,politician,negative,negative,medium,land
ne0195,ne0195,Spain,restricted,heterodiegetic,third-person,female,rural,young,low,realistic,Europe,Europe,Spain,Spain,Valdecruces,León,contemporary,housewife,negative,negative,medium,land
ne0197,ne0197,Spain,restricted,heterodiegetic,third-person,male,rural,young,high,realistic,Europe,Europe,Spain,Spain,Covadonga,Asturias,contemporary,none,negative,negative,medium,land
ne0198,ne0198,Spain,free,heterodiegetic,third-person,male,rural,young,low,realistic,Europe,Europe,Spain,Spain,unknown,unknown,contemporary,worker,negative,negative,high,land
ne0200,ne0200,Spain,free,heterodiegetic,third-person,male,rural,young,medium,non-realistic,Europe,Europe,Spain,Spain,unknown,unknown,contemporary,religious,neutral,neutral,high,land
ne0206,ne0206,Spain,free,heterodiegetic,third-person,female,big-city,young,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,beggar,negative,negative,medium,land
ne0208,ne0208,Spain,restricted,heterodiegetic,third-person,male,rural,adult,low,realistic,Europe,Europe,Spain,Spain,Entralgo,Asturias,contemporary,worker,negative,negative,medium,land
ne0209,ne0209,Spain,restricted,heterodiegetic,third-person,female,small-city,young,medium,realistic,Europe,Europe,Spain,Spain,Nieva,Asturias,contemporary,religious,positive,positive,medium,land
ne0210,ne0210,Spain,restricted,heterodiegetic,third-person,male,rural,adult,low,realistic,Europe,Europe,Spain,Spain,Rodillero,Asturias,contemporary,seaman,positive,positive,medium,land
ne0211,ne0211,Spain,restricted,heterodiegetic,third-person,female,rural,young,high,realistic,Europe,Europe,Spain,Spain,Condado,Asturias,contemporary,student,positive,positive,medium,land
ne0212,ne0212,Spain,restricted,autodiegetic,first-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,journalist,negative,negative,medium,land
ne0215,ne0215,Nicaragua,free,heterodiegetic,third-person,male,small-city,young,high,realistic,Europe,Europe,Italy,not_Spain,Roma,Roma,antiquity,artist,neutral,neutral,high,land
ne0216,ne0216,Nicaragua,free,heterodiegetic,third-person,male,rural,mature,medium,realistic,Europe,Europe,Spain,Spain,Valldemosa,Mallorca,contemporary,artist,partial negative,negative,high,land
ne0218,ne0218,Spain,free,autodiegetic,first-person,male,big-city,child,medium,realistic,Europe,Europe,mixed,mixed,mixed,mixed,contemporary,artist,partial positive,positive,medium,land
ne0223,ne0223,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,non-realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,researcher,positive,positive,high,land
ne0224,ne0224,Spain,restricted,dialogue,second-person,male,big-city,adult,medium,realistic,Africa,not_Europe,Guinea,not_Spain,mixed,mixed,contemporary,mixed,negative,negative,medium,land
ne0227,ne0227,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Castellar,Andalucía,contemporary,doctor,partial negative,negative,medium,land
ne0229,ne0229,Spain,restricted,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,?,negative,negative,medium,land
ne0230,ne0230,Spain,restricted,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,journalist,negative,negative,medium,land
ne0231,ne0231,Spain,restricted,heterodiegetic,third-person,male,big-city,child,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,student,positive,positive,medium,land
ne0234,ne0234,Spain,restricted,homodiegetic,first-person,male,big-city,young,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,journalist,negative,negative,medium,land
ne0235,ne0235,Spain,restricted,homodiegetic,first-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Monleón,País Vasco,contemporary,religious,negative,negative,medium,land
ne0238,ne0238,Spain,restricted,heterodiegetic,third-person,male,small-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Córdoba,Andalucía,contemporary,business owner,negative,negative,medium,land
ne0239,ne0239,Spain,restricted,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,France,not_Spain,París,Isla de Francia,contemporary,?,partial negative,negative,medium,land
ne0240,ne0240,Spain,restricted,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,France,not_Spain,Paris,Isla de Francia,contemporary,?,negative,negative,medium,land
ne0241,ne0241,Spain,restricted,homodiegetic,third-person,male,big-city,adult,high,realistic,Europe,Europe,Italy,not_Spain,Roma,Roma,contemporary,politician,negative,negative,medium,land
ne0242,ne0242,Spain,restricted,autodiegetic,first-person,male,big-city,mature,medium,realistic,Europe,Europe,mixed,mixed,mixed,mixed,contemporary,?,partial negative,negative,medium,land
ne0243,ne0243,Spain,restricted,homodiegetic,first-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Burgos,Castilla,contemporary,military personnel,neutral,neutral,medium,land
ne0246,ne0246,Spain,restricted,homodiegetic,first-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,mixed,neutral,neutral,medium,land
ne0247,ne0247,Spain,restricted,homodiegetic,first-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,mixed,partial negative,negative,medium,land
ne0248,ne0248,Spain,restricted,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,mixed,Andalucía,contemporary,?,negative,negative,medium,land
ne0250,ne0250,Spain,free,dialogue,second-person,female,small-city,adult,medium,non-realistic,Farsalia Nova,not_Europe,Farsalia Nova,not_Spain,Ursaria,Ursaria,other,teacher,positive,positive,medium,land
ne0251,ne0251,Spain,free,heterodiegetic,third-person,male,rural,adult,high,non-realistic,Europe,Europe,Spain,Spain,mixed,Castilla,contemporary,lord,partial positive,positive,medium,land
ne0252,ne0252,Spain,free,heterodiegetic,third-person,male,big-city,adult,low,realistic,Europe,Europe,Spain,Spain,Valencia,Valencia,contemporary,seaman,negative,negative,medium,land
ne0253,ne0253,Spain,free,heterodiegetic,third-person,male,small-city,young,medium,realistic,Europe,Europe,Spain,Spain,Alcira,Valencia,contemporary,politician,negative,negative,medium,land
ne0254,ne0254,Spain,free,heterodiegetic,third-person,male,big-city,adult,low,realistic,Europe,Europe,Roman Empire,not_Spain,Sagunto,Valencia,antiquity,military personnel,negative,negative,medium,land
ne0255,ne0255,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Valencia,Valencia,contemporary,seaman,negative,negative,medium,land
ne0256,ne0256,Spain,free,heterodiegetic,third-person,male,small-city,young,medium,realistic,Europe,Europe,Spain,Spain,Toledo,Castilla,contemporary,student,negative,negative,medium,land
ne0257,ne0257,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Bilbao,País Vasco,contemporary,doctor,neutral,neutral,medium,land
ne0258,ne0258,Spain,free,heterodiegetic,third-person,male,big-city,adult,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,criminal,partial positive,positive,medium,land
ne0266,ne0266,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,non-realistic,Oceanica,not_Europe,Australia,not_Spain,Mildendo,Liliput,contemporary,researcher,positive,positive,medium,land
